year,totacc,fatacc,injacc,pdoacc,ntotacc,nfatacc,ninjacc,npdoacc,rtotacc,rfatacc,rinjacc,rpdoacc,ushigh,cntyrds,strtes,t,tsq,unem,spdlaw,beltlaw,wkends,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,ltotacc,lfatacc,prcfat,prcrfat,lrtotacc,lrfatacc,lntotacc,lnfatacc,prcnfat,lushigh,lcntyrds,lstrtes,spdt,beltt,prcfat_1
1981,40511,365,15626,24520,38235,323,14743,23169,236,12,99,125,1057,6838,3474,1,1,7.9000001,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10.609329,5.8998976,.90098989,5.0847459,5.4638319,2.4849067,10.551507,5.7776523,.84477574,6.9631901,8.8302507,8.1530619,0,0,
1981,36034,329,14469,21236,33989,294,13620,20075,200,8,101,91,934,6057,3123,2,4,8,0,0,12,1,0,0,0,0,0,0,0,0,0,0,10.492218,5.7960577,.91302657,4,5.2983174,2.0794415,10.433792,5.6835799,.8649857,6.8394766,8.7089701,8.0465498,0,0,.90098989
1981,40328,369,16026,23933,37990,335,15105,22550,253,12,110,131,1143,6803,3458,3,9,7.4000001,0,0,13,0,1,0,0,0,0,0,0,0,0,0,10.604801,5.9107966,.91499704,4.743083,5.5333896,2.4849067,10.545078,5.8141303,.88181102,7.0414119,8.825119,8.1484461,0,0,.91302657
1981,37699,369,15560,21770,35457,326,14654,20477,270,14,123,133,1009,6314,3202,4,16,7.1999998,0,0,12,0,0,1,0,0,0,0,0,0,0,0,10.537389,5.9107966,.97880578,5.185185,5.5984221,2.6390574,10.476076,5.7868972,.91942352,6.9167151,8.7505245,8.0715313,0,0,.91499704
1981,38816,355,16546,21915,36611,321,15569,20721,263,6,136,121,1082,6746,3334,5,25,6.0999999,0,0,15,0,0,0,1,0,0,0,0,0,0,0,10.566587,5.872118,.91457134,2.2813687,5.572154,1.7917595,10.508104,5.771441,.87678564,6.9865665,8.8167048,8.111928,0,0,.97880578
1981,38900,422,16778,21700,36555,376,15747,20432,290,16,131,143,1024,6668,3538,6,36,6.6999998,0,0,12,0,0,0,0,1,0,0,0,0,0,0,10.568749,6.0450053,1.0848329,5.5172415,5.6698809,2.7725887,10.506574,5.9295893,1.0285871,6.9314718,8.8050756,8.1713171,0,0,.91457134
1981,38625,470,16515,21640,36303,429,15506,20368,312,22,143,147,1028,6614,3573,7,49,7.4000001,0,0,13,0,0,0,0,0,1,0,0,0,0,0,10.561655,6.1527328,1.2168285,7.0512819,5.7430034,3.0910425,10.499656,6.0614572,1.1817205,6.9353704,8.7969437,8.1811609,0,0,1.0848329
1981,39539,466,17063,22010,37034,422,16029,20583,311,12,140,159,1117,6635,3717,8,64,6.9000001,0,0,14,0,0,0,0,0,0,1,0,0,0,0,10.585043,6.1441855,1.1785831,3.858521,5.7397928,2.4849067,10.519591,6.0450053,1.1394935,7.0184016,8.8001137,8.2206726,0,0,1.2168285
1981,38070,398,16243,21429,35843,363,15309,20171,257,11,122,124,1041,6473,3377,9,81,7,0,0,12,0,0,0,0,0,0,0,1,0,0,0,10.547182,5.9864521,1.0454427,4.2801557,5.5490761,2.3978953,10.486903,5.894403,1.01275,6.947937,8.7753954,8.1247435,0,0,1.1785831
1981,40676,401,16810,23465,38218,354,15758,22106,215,10,95,110,1224,6708,3579,10,100,7.5999999,0,0,14,0,0,0,0,0,0,0,0,1,0,0,10.613394,5.9939613,.98583931,4.6511626,5.3706379,2.3025851,10.551062,5.869297,.92626512,7.1098795,8.8110561,8.1828384,0,0,1.0454427
1981,39270,356,15930,22984,36781,316,14969,21496,278,8,117,153,1195,6309,3494,11,121,7.8000002,0,0,13,0,0,0,0,0,0,0,0,0,1,0,10.578217,5.8749309,.90654445,2.8776979,5.6276212,2.0794415,10.512736,5.7557421,.8591392,7.0859013,8.749732,8.158802,0,0,.98583931
1981,39734,358,15764,23612,37354,322,14858,22174,247,13,107,127,1177,6521,3571,12,144,8.6000004,0,0,12,0,0,0,0,0,0,0,0,0,0,1,10.589963,5.8805332,.90099162,5.2631578,5.5093884,2.5649493,10.528195,5.7745514,.86202282,7.070724,8.7827826,8.1806011,0,0,.90654445
1982,36672,278,14253,22141,34560,251,13446,20863,209,8,87,114,1089,6063,3182,13,169,9.3999996,0,0,15,0,0,0,0,0,0,0,0,0,0,0,10.509768,5.6276212,.75807154,3.8277512,5.3423343,2.0794415,10.450452,5.5254531,.72627312,6.9930153,8.70996,8.0652657,0,0,.90099162
1982,32699,269,13268,19162,30759,237,12492,18030,181,15,76,90,914,5334,2826,14,196,9.6000004,0,0,12,1,0,0,0,0,0,0,0,0,0,0,10.3951,5.5947113,.82265508,8.2872925,5.1984968,2.7080503,10.333938,5.46806,.7705062,6.8178306,8.5818567,7.9466176,0,0,.75807154
1982,41283,347,16372,24564,38602,322,15311,22969,256,12,115,129,1223,6531,3710,15,225,9.6999998,0,0,12,0,1,0,0,0,0,0,0,0,0,0,10.628206,5.8493247,.84053969,4.6875,5.5451775,2.4849067,10.561059,5.7745514,.83415365,7.1090622,8.7843151,8.2187872,0,0,.82265508
1982,36455,338,14893,21224,34200,306,13967,19927,258,10,115,133,1045,5868,3119,16,256,9.3999996,0,0,13,0,0,1,0,0,0,0,0,0,0,0,10.503834,5.8230457,.92717046,3.8759689,5.5529594,2.3025851,10.439981,5.7235851,.89473683,6.9517722,8.677269,8.0452681,0,0,.84053969
1982,36690,331,15484,20875,34590,294,14591,19705,268,14,120,134,940,6429,3181,17,289,9,0,0,14,0,0,0,1,0,0,0,0,0,0,0,10.51026,5.8021183,.90215319,5.2238808,5.5909872,2.6390574,10.45132,5.6835799,.84995663,6.84588,8.7685747,8.0649509,0,0,.92717046
1982,35837,361,15244,20232,33708,327,14344,19037,255,12,129,114,1006,6092,3177,18,324,9.3999996,0,0,12,0,0,0,0,1,0,0,0,0,0,0,10.486736,5.8888779,1.0073388,4.7058825,5.5412636,2.4849067,10.42549,5.7899604,.97009611,6.9137373,8.7147322,8.063693,0,0,.90215319
1982,36850,360,15860,20630,34570,319,14886,19365,330,12,165,153,994,6135,3449,19,361,10.7,0,0,14,0,0,0,0,0,1,0,0,0,0,0,10.514611,5.8861041,.97693354,3.6363637,5.7990928,2.4849067,10.450742,5.7651911,.92276537,6.9017372,8.7217655,8.1458397,0,0,1.0073388
1982,36284,371,15511,20402,33947,337,14568,19042,302,11,146,145,1010,6012,3485,20,400,10.2,0,0,13,0,0,0,0,0,0,1,0,0,0,0,10.499132,5.9162021,1.0224893,3.6423841,5.7104268,2.3978953,10.432556,5.8200831,.99272394,6.9177055,8.7015123,8.1562233,0,0,.97693354
1982,36791,394,15572,20825,34494,358,14633,19503,262,11,124,127,1095,6074,3252,21,441,9.6999998,0,0,12,0,0,0,0,0,0,0,1,0,0,0,10.513008,5.9763508,1.070914,4.1984735,5.5683446,2.3978953,10.448541,5.8805332,1.0378617,6.9985094,8.7117729,8.0870256,0,0,1.0224893
1982,38366,388,16360,21618,36110,355,15441,20314,242,18,109,115,1185,6389,3511,22,484,10.3,0,0,15,0,0,0,0,0,0,0,0,1,0,0,10.554927,5.9610052,1.0113121,7.4380164,5.4889379,2.8903718,10.494325,5.872118,.98310715,7.077498,8.7623329,8.1636562,0,0,1.070914
1982,37741,325,15326,22090,35246,292,14373,20581,260,14,113,133,1163,6304,3388,23,529,11,0,0,12,0,0,0,0,0,0,0,0,0,1,0,10.538503,5.7838254,.86113244,5.3846154,5.5606818,2.6390574,10.470107,5.676754,.82846278,7.0587583,8.7489395,8.1279955,0,0,1.0113121
1982,38331,328,15296,22707,35876,290,14350,21236,259,7,105,147,1170,6300,3393,24,576,11,0,0,13,0,0,0,0,0,0,0,0,0,0,1,10.554014,5.7930136,.85570431,2.7027028,5.556828,1.9459101,10.487823,5.6698809,.80833983,7.0647593,8.7483053,8.1294699,0,0,.86113244
1983,37201,272,14919,22010,34795,246,13959,20590,235,8,93,134,1064,5880,3228,25,625,11.7,0,0,14,0,0,0,0,0,0,0,0,0,0,0,10.524091,5.6058021,.73116314,3.4042554,5.4595857,2.0794415,10.457229,5.5053315,.70699811,6.9697905,8.6793118,8.0796185,0,0,.85570431
1983,35901,266,14401,21234,33544,238,13435,19871,193,6,71,116,998,5790,3255,26,676,11.9,0,0,12,1,0,0,0,0,0,0,0,0,0,0,10.488521,5.5834961,.74092644,3.1088083,5.2626901,1.7917595,10.420613,5.4722705,.70951587,6.9057531,8.663888,8.0879478,0,0,.73116314
1983,40354,308,16148,23898,37749,281,15085,22383,267,6,114,147,1152,6482,3595,27,729,10.9,0,0,12,0,1,0,0,0,0,0,0,0,0,0,10.605446,5.7300997,.76324528,2.247191,5.5872488,1.7917595,10.538714,5.6383548,.74439061,7.0492549,8.7767839,8.1872997,0,0,.74092644
1983,38276,333,15871,22072,35571,300,14764,20507,237,6,102,129,1084,6146,3485,28,784,9.8999996,0,0,14,0,0,1,0,0,0,0,0,0,0,0,10.552578,5.8081427,.86999685,2.5316455,5.46806,1.7917595,10.479286,5.7037826,.84338367,6.9884133,8.7235565,8.1562233,0,0,.76324528
1983,36544,361,15844,20339,34186,325,14835,19026,293,13,144,136,978,6217,3303,29,841,9.8999996,0,0,13,0,0,0,1,0,0,0,0,0,0,0,10.506272,5.8888779,.98785025,4.4368601,5.6801724,2.5649493,10.439571,5.7838254,.95068157,6.8855095,8.7350426,8.1025867,0,0,.86999685
1983,36127,335,15765,20027,33879,297,14807,18775,292,16,122,154,972,6153,3155,30,900,10.1,0,0,12,0,0,0,0,1,0,0,0,0,0,0,10.494796,5.8141303,.92728424,5.4794521,5.676754,2.7725887,10.430551,5.6937323,.87664926,6.8793559,8.7246952,8.0567436,0,0,.98785025
1983,37446,375,16463,20608,35042,340,15394,19308,292,13,145,134,1092,6177,3514,31,961,9.5,0,0,15,0,0,0,0,0,1,0,0,0,0,0,10.530655,5.9269261,1.0014421,4.452055,5.676754,2.5649493,10.464303,5.8289456,.97026426,6.9957662,8.7285881,8.1645107,0,0,.92728424
1983,38977,401,17018,21558,36186,361,15847,19978,325,10,147,168,1125,6403,3828,32,1024,9.5,0,0,14,0,0,0,0,0,0,1,0,0,0,0,10.570727,5.9939613,1.0288118,3.0769231,5.7838254,2.3025851,10.496428,5.8888779,.99762338,7.0255384,8.7645216,8.2500982,0,0,1.0014421
1983,39443,397,17060,21986,36635,367,15838,20430,332,6,152,174,1206,6412,3692,33,1089,8.3000002,0,0,13,0,0,0,0,0,0,0,1,0,0,0,10.582612,5.9839363,1.0065157,1.8072289,5.8051348,1.7917595,10.508759,5.9053617,1.0017743,7.0950642,8.7659264,8.2139235,0,0,1.0288118
1983,40098,353,17139,22606,37463,326,16063,21074,263,10,118,135,1226,6582,3585,34,1156,8.1000004,0,0,14,0,0,0,0,0,0,0,0,1,0,0,10.599082,5.866468,.8803432,3.8022814,5.572154,2.3025851,10.531109,5.7868972,.87019193,7.1115122,8.7920942,8.184514,0,0,1.0065157
1983,41483,327,16735,24421,38551,299,15548,22704,241,8,104,129,1375,6491,3952,35,1225,8.1999998,0,0,12,0,0,0,0,0,0,0,0,0,1,0,10.633039,5.7899604,.78827471,3.3195021,5.484797,2.0794415,10.559737,5.7004437,.77559596,7.2262092,8.7781715,8.2819767,0,0,.8803432
1983,43493,348,17464,25681,40629,322,16297,24010,305,6,125,174,1318,7060,3923,36,1296,8,0,0,14,0,0,0,0,0,0,0,0,0,0,1,10.680355,5.8522024,.80012876,1.9672132,5.7203116,1.7917595,10.612237,5.7745514,.79253733,7.1838708,8.8622007,8.2746115,0,0,.78827471
1984,35242,320,14625,20297,32943,297,13702,18944,216,10,90,116,951,5525,3198,37,1369,9.1999998,0,0,13,0,0,0,0,0,0,0,0,0,0,0,10.469994,5.768321,.9080075,4.6296296,5.3752785,2.3025851,10.402534,5.6937323,.90155721,6.8575139,8.6170387,8.070281,0,0,.80012876
1984,35215,310,14692,20213,32884,286,13712,18886,201,7,88,106,1037,5646,3139,38,1444,8.8000002,0,0,12,1,0,0,0,0,0,0,0,0,0,0,10.469228,5.7365723,.88030666,3.4825871,5.3033047,1.9459101,10.400742,5.655992,.86972386,6.944087,8.6387024,8.0516596,0,0,.9080075
1984,39151,353,16919,21879,36522,325,15899,20298,246,10,115,121,1136,6156,3381,39,1521,8.6000004,0,0,14,0,1,0,0,0,0,0,0,0,0,0,10.575181,5.866468,.9016372,4.0650406,5.5053315,2.3025851,10.505671,5.7838254,.88987458,7.0352688,8.7251825,8.125927,0,0,.88030666
1984,37808,346,16322,21140,35252,306,15278,19668,240,16,115,109,1011,6045,3344,40,1600,7.6999998,0,0,13,0,0,1,0,0,0,0,0,0,0,0,10.540276,5.8464389,.91515023,6.6666665,5.480639,2.7725887,10.470278,5.7235851,.86803585,6.9186954,8.7069864,8.1149225,0,0,.9016372
1984,39706,375,17515,21816,37149,336,16485,20328,308,11,132,165,1154,6252,3707,41,1681,7.1999998,0,0,12,0,0,0,1,0,0,0,0,0,0,0,10.589257,5.9269261,.94444168,3.5714285,5.7300997,2.3978953,10.522692,5.817111,.90446579,7.0509896,8.7406569,8.2179785,0,0,.91515023
1984,38857,390,17058,21409,36063,339,15866,19858,371,13,180,178,1177,5936,3645,42,1764,7.4000001,0,0,14,0,0,0,0,1,0,0,0,0,0,0,10.567643,5.9661469,1.0036802,3.5040431,5.9162021,2.5649493,10.493023,5.8260002,.94002163,7.070724,8.6887903,8.2011118,0,0,.94444168
1984,40083,421,17317,22345,37282,380,16090,20812,360,16,159,185,1162,6088,3847,43,1849,8.3999996,0,0,13,0,0,0,0,0,1,0,0,0,0,0,10.598707,6.0426331,1.0503205,4.4444447,5.8861041,2.7725887,10.526266,5.9401712,1.0192586,7.057898,8.7140751,8.2550488,0,0,1.0036802
1984,41797,407,18135,23255,38694,366,16848,21480,403,15,192,196,1314,6680,3986,44,1936,7.5,0,0,13,0,0,0,0,0,0,1,0,0,0,0,10.64058,6.0088134,.97375411,3.7220843,5.9989367,2.7080503,10.563439,5.9026332,.9458831,7.1808314,8.8068733,8.2905436,0,0,1.0503205
1984,42034,434,18218,23382,39147,398,16981,21768,328,13,140,175,1187,6699,3912,45,2025,7.5,0,0,14,0,0,0,0,0,0,0,1,0,0,0,10.646235,6.0730443,1.0324975,3.9634147,5.7930136,2.5649493,10.575079,5.9864521,1.0166807,7.0791845,8.8097134,8.2718039,0,0,.97375411
1984,43836,396,18630,24810,40868,343,17387,23138,296,14,125,157,1393,6767,3914,46,2116,7,0,0,12,0,0,0,0,0,0,0,0,1,0,0,10.68821,5.9814143,.90336704,4.7297297,5.6903596,2.6390574,10.618103,5.8377304,.83928746,7.2392149,8.8198128,8.272315,0,0,1.0324975
1984,44638,345,18085,26208,41477,312,16902,24263,305,5,128,172,1380,6802,4131,47,2209,7.0999999,0,0,13,0,0,0,0,0,0,0,0,0,1,0,10.706341,5.8435445,.77288407,1.6393442,5.7203116,1.6094379,10.632895,5.7430034,.75222415,7.2298388,8.8249722,8.3262749,0,0,.90336704
1984,45369,364,18041,26964,42303,320,16812,25171,305,14,112,179,1237,6739,3959,48,2304,6.9000001,0,0,14,0,0,0,0,0,0,0,0,0,0,1,10.722585,5.8971539,.80230993,4.5901637,5.7203116,2.6390574,10.652614,5.768321,.75644755,7.1204443,8.8156672,8.2837467,0,0,.77288407
1985,38642,318,15467,22857,36041,271,14469,21301,223,15,100,108,1107,5977,3403,49,2401,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,10.562095,5.7620516,.8229388,6.7264576,5.4071717,2.7080503,10.492413,5.602119,.75192142,7.009409,8.6956739,8.1324129,0,0,.80230993
1985,38616,323,15787,22506,35903,291,14703,20909,236,6,98,132,1052,5879,3375,50,2500,7.4000001,0,0,12,1,0,0,0,0,0,0,0,0,0,0,10.561422,5.7776523,.8364408,2.5423729,5.4638319,1.7917595,10.488576,5.6733232,.81051725,6.9584484,8.679142,8.1241503,0,0,.8229388
1985,44493,364,18370,25759,41424,333,17162,23929,234,9,106,119,1224,6782,3985,51,2601,7.3000002,0,0,15,0,1,0,0,0,0,0,0,0,0,0,10.703087,5.8971539,.81810623,3.8461537,5.4553213,2.1972246,10.631616,5.8081427,.80388182,7.1098795,8.8220272,8.2902927,0,0,.8364408
1985,41134,365,17458,23311,38385,330,16357,21698,269,9,115,145,1148,6485,3500,52,2704,7.3000002,0,0,12,0,0,1,0,0,0,0,0,0,0,0,10.62459,5.8998976,.88734382,3.3457248,5.5947113,2.1972246,10.555422,5.7990928,.85971081,7.0457764,8.7772474,8.1605186,0,0,.81810623
1985,42369,367,18072,23930,39536,328,16921,22287,311,12,140,159,1150,6718,3581,53,2809,6.5999999,0,0,13,0,0,0,1,0,0,0,0,0,0,0,10.654172,5.9053617,.86619937,3.858521,5.7397928,2.4849067,10.584967,5.7930136,.82962364,7.0475173,8.8125458,8.1833973,0,0,.88734382
